reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background_Scheme A Step 11,Background,Scheme A Step 11,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,"3-oxocyclohex-1-en-1-yl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing
Background_Scheme B Step 1,Background,Scheme B Step 1,nucleophilic_substitution,,,3/5,3-chloro-2-methylaniline; NaNO2; HCl; CH3SNa,Cc1c(N)cccc1Cl; ; Cl; ,1-chloro-2-methyl-3-(methylsulfanyl)benzene,CSc1cccc(Cl)c1C,name_parsed; none; patent_drawing
Background_Scheme B Step 2,Background,Scheme B Step 2,acylation,Friedel-Crafts acylation,CSc1cccc(Cl)c1C.CC(=O)Cl.[Cl][Al]([Cl])[Cl]>>CSc1ccc(C(C)=O)c(Cl)c1C,4/4,1-chloro-2-methyl-3-(methylsulfanyl)benzene; acetyl chloride; aluminium trichloride,CSc1cccc(Cl)c1C; CC(=O)Cl; [Cl][Al]([Cl])[Cl],1-[2-chloro-3-methyl-4-(methylsulfanyl)phenyl]ethan-1-one,CSc1ccc(C(C)=O)c(Cl)c1C,name_parsed; patent_drawing
Background_Scheme B Step 3,Background,Scheme B Step 3,oxidation,,CSc1ccc(C(C)=O)c(Cl)c1C.OO>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,3/3,1-[2-chloro-3-methyl-4-(methylsulfanyl)phenyl]ethan-1-one; H2O2,CSc1ccc(C(C)=O)c(Cl)c1C; OO,1-[2-chloro-4-(methanesulfonyl)-3-methylphenyl]ethan-1-one,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Background_Scheme B Step 4,Background,Scheme B Step 4,oxidation,haloform reaction,,5/6,1-[2-chloro-4-(methanesulfonyl)-3-methylphenyl]ethan-1-one; sodium hypochlorite; water; 卤仿; sodium chloride,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; [Na+].[O-]Cl; O; ; [Cl-].[Na+],2-chloro-4-(methanesulfonyl)-3-methylbenzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,name_parsed; none; patent_drawing
Background_Scheme B Step 5,Background,Scheme B Step 5,ester_formation,,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.CO>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,3/3,2-chloro-4-(methanesulfonyl)-3-methylbenzoic acid; CH3OH,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; CO,methyl 2-chloro-4-(methanesulfonyl)-3-methylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Background_Scheme B Step 6,Background,Scheme B Step 6,halogenation,,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.[Br]>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,3/3,methyl 2-chloro-4-(methanesulfonyl)-3-methylbenzoate; Br2,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; [Br],methyl 3-(bromomethyl)-2-chloro-4-(methanesulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,name_parsed; patent_drawing
Background_Scheme B Step 7,Background,Scheme B Step 7,nucleophilic_substitution,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F>>COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl,3/3,methyl 3-(bromomethyl)-2-chloro-4-(methanesulfonyl)benzoate; CF3CH2ONa,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F,"methyl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate",COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl,name_parsed; patent_drawing
Background_Scheme B Step 8,Background,Scheme B Step 8,hydrolysis,,COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl.[Na+].[OH-]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,3/3,"methyl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate; NaOH",COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl; [Na+].[OH-],"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Scheme B Step 9,Background,Scheme B Step 9,halogenation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.O=S(Cl)Cl>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,3/3,"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoic acid; SOCl2",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl,"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl chloride",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Scheme B Step 10,Background,Scheme B Step 10,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,3/3,"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl chloride; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,"3-oxocyclohex-1-en-1-yl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,patent_drawing
Background_Scheme B Step 11,Background,Scheme B Step 11,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,"3-oxocyclohex-1-en-1-yl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing
Claims_Step (v),Claims,Step (v),other_cross_coupling,,,22/25,"CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; H2O; palladium; rhodium; ruthenium; copper; cobalt; palladium(II) chloride; palladium(II) carbonate; palladium(II) acetate; palladium on carbon; palladium(II) trifluoroacetate; bis(dibenzylideneacetone)palladium(0); 1,3-bis(diphenylphosphino)propane; 1,4-bis(diphenylphosphino)butane; bis[(4-N,N-dimethylamino)phenyl]di-tert-butylphosphine; toluene; 1,4-dioxane; ethylene glycol dimethyl ether; ethylene glycol diethyl ether; dimethyl sulfoxide; tetrahydrofuran; N,N-dimethylformamide",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O; [Pd]; [Rh]; [Ru]; [Cu]; [Co]; [Cl][Pd][Cl]; O=C([O-])[O-].[Pd+2]; CC(=O)[O-].CC(=O)[O-].[Pd+2]; ; O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[Pd+2]; ; c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; ; Cc1ccccc1; C1COCCO1; COCCOC; CCOCCOCC; CS(C)=O; C1CCOC1; CN(C)C=O,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_scheme
Claims_Step (v'),Claims,Step (v'),other_cross_coupling,,,22/25,"CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; O=C1CCCC(=O)C1; palladium; rhodium; ruthenium; copper; cobalt; palladium(II) chloride; palladium(II) carbonate; palladium(II) acetate; palladium on carbon; palladium(II) trifluoroacetate; bis(dibenzylideneacetone)palladium(0); 1,3-bis(diphenylphosphino)propane; 1,4-bis(diphenylphosphino)butane; bis[(4-N,N-dimethylamino)phenyl]di-tert-butylphosphine; toluene; 1,4-dioxane; ethylene glycol dimethyl ether; ethylene glycol diethyl ether; dimethyl sulfoxide; tetrahydrofuran; N,N-dimethylformamide",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O=C1CCCC(=O)C1; [Pd]; [Rh]; [Ru]; [Cu]; [Co]; [Cl][Pd][Cl]; O=C([O-])[O-].[Pd+2]; CC(=O)[O-].CC(=O)[O-].[Pd+2]; ; O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[Pd+2]; ; c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; ; Cc1ccccc1; C1COCCO1; COCCOC; CCOCCOCC; CS(C)=O; C1CCOC1; CN(C)C=O,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_scheme
Claims_Step (i),Claims,Step (i),halogenation,,CSc1cccc(Cl)c1C.[Br]>>CSc1ccc(Br)c(Cl)c1C,3/3,CSc1cccc(Cl)c1C; bromine,CSc1cccc(Cl)c1C; [Br],CSc1ccc(Br)c(Cl)c1C,CSc1ccc(Br)c(Cl)c1C,name_parsed; patent_scheme
Claims_Step (ii),Claims,Step (ii),oxidation,,CSc1ccc(Br)c(Cl)c1C.OO>>Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,3/3,CSc1ccc(Br)c(Cl)c1C; hydrogen peroxide,CSc1ccc(Br)c(Cl)c1C; OO,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,name_parsed; patent_scheme
Claims_Step (iii),Claims,Step (iii),halogenation,,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl.[Br].O=C1CCC(=O)N1Br.Br.OO>>CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,6/6,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; bromine; N-bromosuccinimide; hydrogen bromide; hydrogen peroxide,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; [Br]; O=C1CCC(=O)N1Br; Br; OO,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,name_parsed; patent_scheme
Claims_Step (iv),Claims,Step (iv),nucleophilic_substitution,Williamson ether synthesis,,4/5,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; CF3CH2OM; CF3CH2ONa; CF3CH2OK,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; ; [Na+].[O-]CC(F)(F)F; [K+].[O-]CC(F)(F)F,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_scheme
Claims_Step (vi) Arrow 1,Claims,Step (vi) Arrow 1,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,4/4,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; H2O,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_scheme
Claims_Step (vi) Arrow 2,Claims,Step (vi) Arrow 2,halogenation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,2/2,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,patent_scheme
Claims_Step (vi) Arrow 3,Claims,Step (vi) Arrow 3,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,3/3,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,patent_scheme
Claims_Step (vi) Arrow 4,Claims,Step (vi) Arrow 4,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing; patent_scheme
Claims_Step (vi') Arrow 1,Claims,Step (vi') Arrow 1,other_cross_coupling,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,4/4,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; CO; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O=C1CCCC(=O)C1,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,name_parsed; patent_scheme
Claims_Step (vi') Arrow 2,Claims,Step (vi') Arrow 2,other,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing; patent_scheme
Example 1_Step 1,Example 1,Step 1,nucleophilic_substitution,,,4/7,3-chloro-2-methylaniline; hydrochloric acid; NaNO2; 重氮盐; CH3SNa; NaOH,Cc1c(N)cccc1Cl; Cl; ; ; ; [Na+].[OH-],compound of formula (VI),CSc1cccc(Cl)c1C,name_parsed; none; patent_drawing
Example 10_Step 1,Example 10,Step 1,acylation,,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F.[C]=O.O=C1CCCC(=O)C1.CCN(CC)CC.[Cl][Pd][Cl].c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.C1COCCO1.[N].CC(C)(O)C#N.Br.CCN(CC)CC.CO.O.[Na+].[OH-]>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,14/14,"式(IV)化合物; CO; cyclohexane-1,3-dione; triethylamine; PdCl2; 1,4-bis(diphenylphosphino)butane; 1,4-dioxane; nitrogen; acetone cyanohydrin; triethylamine hydrobromide; methanol; water; sodium hydroxide",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; [C]=O; O=C1CCCC(=O)C1; CCN(CC)CC; [Cl][Pd][Cl]; c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1; C1COCCO1; [N]; CC(C)(O)C#N; Br.CCN(CC)CC; CO; O; [Na+].[OH-],tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 11_Step 1,Example 11,Step 1,other_cross_coupling,,,9/9,"式(IV)化合物; 1,3-cyclohexanedione; carbon monoxide; triethylamine; palladium(II) chloride; 2-dicyclohexylphosphino-2',6'-dimethoxybiphenyl; 4,5-bis(diphenylphosphino)-9,9-dimethylxanthene; 1,4-dioxane; nitrogen",CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; [C]=O; CCN(CC)CC; [Cl][Pd][Cl]; COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1; CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21; C1COCCO1; [N],,,name_parsed; patent_drawing
Example 2_Step 1,Example 2,Step 1,halogenation,,CSc1cccc(Cl)c1C.ClCCl.[Br].[Na+].[OH-].O>>CSc1ccc(Br)c(Cl)c1C,6/6,式(VI)化合物; dichloromethane; bromine; sodium hydroxide; water,CSc1cccc(Cl)c1C; ClCCl; [Br]; [Na+].[OH-]; O,式(I)化合物,CSc1ccc(Br)c(Cl)c1C,name_parsed; patent_drawing
Example 3_Step 1,Example 3,Step 1,oxidation,,,5/6,式(I)化合物; sodium tungstate dihydrate; glacial acetic acid; hydrogen peroxide; water,CSc1ccc(Br)c(Cl)c1C; ; CC(=O)O; OO; O,式(II)化合物,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl,name_parsed; none; patent_drawing
Example 4_Method 1,Example 4,Method 1,halogenation,,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl.[Br].O=C(OOC(=O)c1ccccc1)c1ccccc1.ClCCCl.[Na+].[OH-].O>>CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,7/7,"式(II)化合物; bromine; benzoyl peroxide; 1,2-dichloroethane; sodium hydroxide; water",Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; [Br]; O=C(OOC(=O)c1ccccc1)c1ccccc1; ClCCCl; [Na+].[OH-]; O,式(III)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,name_parsed; patent_drawing
Example 4_Method 2,Example 4,Method 2,halogenation,Wohl-Ziegler bromination,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl.O=C1CCC(=O)N1Br.O=C(OOC(=O)c1ccccc1)c1ccccc1.ClC(Cl)(Cl)Cl.CCO>>CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,6/6,式(II)化合物; N-bromosuccinimide; benzoyl peroxide; carbon tetrachloride; ethanol,Cc1c(S(C)(=O)=O)ccc(Br)c1Cl; O=C1CCC(=O)N1Br; O=C(OOC(=O)c1ccccc1)c1ccccc1; ClC(Cl)(Cl)Cl; CCO,式(III)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr,name_parsed; patent_drawing
Example 5_Step 1,Example 5,Step 1,nucleophilic_substitution,Williamson ether synthesis,CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr.OCC(F)(F)F.[H-].[Na+].C1CCOC1.C1CCOC1.C1CCOC1.[Na+].[O-]CC(F)(F)F.O.[Cl-].[Na+].CO.CCO>>CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,12/12,"式(III)化合物; 2,2,2-trifluoroethanol; sodium hydride; tetrahydrofuran; tetrahydrofuran; tetrahydrofuran; CF3CH2ONa; water; saturated brine; methanol; ethanol",CS(=O)(=O)c1ccc(Br)c(Cl)c1CBr; OCC(F)(F)F; [H-].[Na+]; C1CCOC1; C1CCOC1; C1CCOC1; [Na+].[O-]CC(F)(F)F; O; [Cl-].[Na+]; CO; CCO,式(IV)化合物,CS(=O)(=O)c1ccc(Br)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
